"1","ISU小林レジデンス","又国内思想指導の方針としては、較もすれば党派的に陥る全体主義ではなくして、何処までも公明正大なる君民一体、万民翼賛の皇道でなければならない。","/images/estate/eea2d2162cc9bf2c838f8b966fa716a967452e7ed62db7463763fc34a310a1d8.png","茨城県港区台東3丁目20番18号 シャルム三ノ輪360","37.71778813321466","140.2540394463388","138843","173","77","防犯カメラ,敷地内ゴミ置場","691612"
"2","ISU藤本レジデンス","けれどもまあ考えて見ますとふしぎではござんせんか、毎日毎日お目にかかって居る時は、別にこれぞと云って、御なつかしくもお話ししたいとも思いませんでしたのにねえ。","/images/estate/de6abec7fc841fcd34acb328acdd9eb418a61717066d53286e9c9694efcb85bd.png","神奈川県横浜市港北区千束29丁目27番7号 独鈷沢ハイツ682","34.567615734464844","137.8327791915887","36234","143","193","防犯カメラ","854841"
"3","ISUガーデン 吉田","そのあとは、みかけは天を摩す巨木でありながら、まるで綿でもつめた蛇籠のように軽く、押せば他愛もなくぐらぐらっと揺れるのである。","/images/estate/bf882121cc776799f4dd11f4851fe31e6e9b1e208e2ecfa44e5b13ae41946afc.png","福井県川崎市幸区虎ノ門虎ノ門ヒルズ森タワー1丁目14番1号 シティ麹町049","36.43305134120814","136.30105529745887","41805","108","76","","122759"
"4","ISUガーデン 原田","まるで月世界の山脈か砂丘のような起伏、石筍、天井からの無数の乳房、それが、光をうけるとパッと雪のようにかがやく。","/images/estate/bedfb98e7d2451878c08874d4a51192e3ff947f19c4c5d3dcf2a2654d13fc9d5.png","岩手県品川区日光37丁目22番19号 神明内シティ302","35.91870655844355","137.4815289433509","193326","148","104","ルームシェア可,ペット相談可","226698"
"5","ISUガーデン 小林","けれども、夕暮にさえなりますと、私の心に夕栄の雲の様に様々な色と姿の思い出が湧きます中の一つが、とうとう斯うやって、筆をとらせたのでございます。","/images/estate/4e82b3325e069963bcedc527ad28d6de00a029c074a70f957bbff79c08f92fb9.png","福岡県安房郡鋸南町山中新田32丁目5番20号 東浅草ハイツ908","34.80868756675473","135.43786348826748","160860","95","75","ワンルーム,DIY可,地下室","912374"
"6","高橋ISUビルディング","法水は何より先に、この婦人の精神的な深さと、総身から滲み出てくる、物々しいまでの圧力に打たれざるを得なかった。","/images/estate/75cfcc80f0e097894f4fc362e82fa67fd033b9339c081f94d260f5e8e9d8447f.png","沖縄県横浜市磯子区松浦町28丁目22番15号 パレス三ノ輪337","36.18891231258194","138.46313973146775","165824","199","177","オール電化,地下室,最上階","459295"
"7","ISU佐藤レジデンス","しかしその時、折竹は一つの石をじっと見詰め、じつにブラジル産にしては稀ともいいたい、その石の青色に気を奪われていた。","/images/estate/0d03b7e7df95e78ee5cf721065f4370f2a27138ab06c519fb2fc727fa27d73e6.png","岐阜県足立区丹勢33丁目23番3号","34.71687100328143","135.14447871900316","193838","75","164","","387607"
"8","ISUガーデン 近藤","生物は、わずか数種の爬虫類がいるだけで、まったく、水掻きをつけ藻をかぶって現われる、水棲人の棲所というに適わしいのである。","/images/estate/515300f1891f74b18e6d56149ab57147c8f5ba6d94aab56cae7d6358ba76262e.png","茨城県東久留米市池之端40丁目10番5号 コート下吉羽109","35.00145211550731","137.10007706408575","152731","95","124","メゾネット,床下収納","146990"
"9","喜嶋 ISUビル","パーティションの上から、半月まえにこのフロアにやってきた男が顔をのぞかせて、景気よくやりましょう、というように慶一を見た。","/images/estate/b5f2aa3898fc8f4788110f40d8a3ce05c4dcc7b417e0a3534bcb97289611a5e8.png","秋田県長生郡白子町白金台26丁目12番11号","34.786283212998484","136.90901565606856","66024","118","42","","621207"
"10","ISU吉本レジデンス","自分の良心の不徹底ゆゑに苦しかつた、そしてある瞬間はまた、そんなに苦しむ事が愚しいやうな、一寸笑つてやりたいやうな氣もした。","/images/estate/92ce22dea4c17d3484b74e1f621d5eca691e6a21021d789c4fd8560fa15c3dc3.png","福井県横浜市鶴見区蔵前5丁目16番4号 中宮祠ハイツ505","34.66773102373023","135.67502905064066","178133","193","84","","394213"
